Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
1, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
2, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
3, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
4, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
5, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
6, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
7, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
8, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
9, eco3, 1, 24030, 1071.38104396176, 11098, 5886, 0, 
10, eco3, 1, 23874, 985.4108191957, 11197, 6267, 0, 
11, eco3, 1, 23874, 985.4108191957, 11197, 6267, 0, 
12, eco3, 1, 4792, 905.05275057492, 2115, 0, 0, 
13, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
14, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
15, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
16, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
17, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
18, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
19, eco3, 1, 3136, 745.788023176033, 715, 0, 0, 
20, eco3, 1, 9050, 1014.56306224038, 2564, 9, 0, 
